Text,Sentiment
MAI V HINDU AA MNU KOI ROSH NAI AA SACH SACH HUNDA,1
Mootpeeniyea nu sach koda lgda ah veere Meri walo salaam ah teri kalam nu,2
"Siraaaaa krta bro,Ranjeet att hai bai",2
eh moot peene moot he pee sakde aaa bus,0
sahi hai song,2
Sach loka nu pachda ni tenu support Ranjit bawa,2
Sahi gall kahi ranjit bawa g,2
Ek number gana yeh saale fuddu asliyat n digest ni kar sakdefaltu ki politics karde haande hain,0
Usney Sab dharm dey Barey booleya,1
Saale mut peene nahi rukda hun,0
Lag gye hun ede te,0
Manuwadi soch karke ho reha case,1
Veer tuci Changi Gal Kite Aa Sach De Raah Te Mushkil Jarur Hundi Aa Te Jet Hmesha Sach De Hundi Aa Aapa Tuhade Nall Aa,2
Tuhade warge look salleyo sikh hindu vich ladaiya kraunde,0
Sach likhya,2
Asi sab ranjit waba nal sehamt aa,2
Turja turjaparche ala,0
wah kamaal gya ranjit bawa,2
Hahahaha gau mooter peen wali kom,0
Love you vr aeda he sach bolda reh vr,2
Bai Ranjit Bawa bai nu FULL SUPPORT aa ji,2
Ranjit bawa attttttttttttt krti bro,2
kamli jantaa,0
sach boliya bawa is ch koi v galt gal he e nai suport BAWA hit like,2
Bc lag gyi Hun ehna de,0
Bai ne sach likhea taio sarhe saare bai nu full support ranjitdageet,2
Saii likhya javan,2
Bilkul sach ha bai ne full sporting for ranjit bawa,2
Sach hai jo v song ch hai,2
Sach ta bawe da song,2
Shiv sena di pen di lun,0
sahi gallan aa ji song ch,2
Ranjit bawa ne bilkul sai kia Apaa tere support ch aa verre,2
Bilkul sahi gaana haiga,2
Lgi mirchi bahuta nu,0
sahi kiha bai ne ek no,2
Sach bolda munda bawayea da,2
Piyo tusi muttr bro,0
Sach bolea ha,2
muuut peene saale baandr sena RANJIT BAWA,0
Bilkul sahi song hai,2
Sach kauda hunda,1
Sach likhea bro song vich,1
Fuddu sale,0
Sahi ta bol reha hai veer,2
Bilkul shi bolya pajii song attttt hai,2
Galat gal aa,0
Sach ni sunia jada tetho mama Ranjeet baba ne shi keha jma Ban krade ge tu dekhdea kida krona,0
Right ji ekdum right,1
Sach kiha sabb,1
Fuddu saale kuttekhani,0
Bus kar fuddu salla,0
Writer te singer nu salaam hai ji,2
Bawa sab na sahi hai g,2
Bhai ne kuchh nahin Kiya,1
Ki galt keha bai ne sahi aa bai,1
Ranjit bawa sahi hai,2
bawe lai hamasa khre a,2
Thank u bai g eh Geet likhn wale te Gaon wale da,2
Saii ganna gyaya onaa,2
sala samj ni onda lachar song bhi dukhde te change bhi ehna de,0
Anpad log,0
Sach hi keha fr salya,1
Tussi Ki Karde Ferde Ho,1
Veer ji ne ganna right gaya hai,1
Song sach aa,1
Nice song veer,1
Bharat da koi kanon hi nahi,1
ki gl sach hajjam ni hoya,0
Bhai ne sach hi keha ee,1
bawe ne khya e c song ch j ma kuj sach bolya chir jana yud ya,1
Mirchi te hon lagi aa tanu te,0
sach ta sach h te rhega,1
Nice gata gaya bai ne,1
Galat kujh vi nahi Sabh sahhi kisha Jo duniya de halaat ne,2
Ranjeet bawa sahi a,1
Bilkul sahi bawa,1
