Words,Generalised Spelling
Mootpeeniyea,Moot Peeniya
22,bhai
22g,bhai
aab,aa
aabad,aabad
aabilkul,bilkul
aabroo,bro
aabut,but
aadh,aadha
aadhe,aadhe
aaeh,aae
aafull,full
aaha,aah
aahotelan,hotelan
aakad,aa kad
aakal,aa kal
aakaljug,aa kaljug
aakall,aa kal
aake,aa ke
aakhaas,aa khaas
aakhan,aa khan
aaki,aa ki
aakoi,aa koi
aakuch,aa kuch
aalay,aale
aaley,aale
aalio,aalyo
aalog,aa log
aamunda,aa munda
aanaale,aa naale
aanale,aa naale
aaoaur,aao aur
aaobhagti,aao bhagti
aaokarni,aao karni
aapde,aap de
aapdi,aap di
aaplzz,aa please
aapnaa,aapna
aapnee,aapne
aapny,aapni
aapp,aap
aaps,aap se
aapsab,aap sab
aarabb,aa rabb
aarrthikk,aarthik
aasach,aa sach
aasan,aa san
aaseesa,aa seesa
aashoti,aas hoti
aasoola,aa soola
aassi,assi
aatanawadi,aa tana wadi
aatma,aatma
aatmaa,aatma
aatrue,aa true
aatt,att
aawaheeguru,aa waheguru
aawoo,aawo
abaad,abad
abahut,aa bahut
abhut,aa bahut
abpsanjha,abp sanjha
accunt,account
achy,achi
acount,account
acter,actor
adat,aadat
addmision,admission
adh,aadha
adha,aadha
adhi,aadhi
adress,address
aegod,ae god
affem,afeem
afgani,afgaani
afsoos,afsos
ager,agar
aggay,agge
agr,agar
agya,aa gya
agyi,aa gyi
ahnda,aa hunda
aho,aa ho
ahoo,aa hoo
aida,aa ida
aidi,aa idi
aithhe,aithe
ajay,aje
ajee,aje
ajehe,a jehe
ajehiya,a jehe
ajihde,a jihde
ajjy,ajji
ajkl,ajkal
akadkhor,akad khor
akalk,akal
alea,alea
aleaa,alea
alla,allah
amer,ameer
amir,ameer
amrica,america
amtlb,aa matlab
anchorjai,anchor jai
ancor,anchor
andaz,andaaz
andr,ander
anjan,anjaan
anpar,anpad
anpard,anpad
ansaniiat,insaniat
apky,apki
apnay,apne
apnee,apne
apney,apne
apnii,apni
apniya,apnia
apny,apni
appny,apni
aprail,april
aproch,approach
apuny,apni
ardas,ardaas
ardasa,ardaas
ardass,ardaas
ards,ardaas
arman,armaan
arseholes,asshole
asii,asi
astad,astaad
astard,astaad
astiffaa,astifa
athest,athiest
atusi,a tusi
aukad,aukaat
aukat,aukaat
aukkat,aukaat
avara,avaara
aven,avain
avien,avain
avin,avain
awaaz,awaaj
awaazaan,awaajan
awaj,awaaj
awajaa,awaajan
awaz,awaaj
awein,avain
awgod,aw god
awsome,awesome
baadch,baad ch
baakii,baaki
baattumhe,baat tumhe
babagood,baba good
babavichbachpanawagalsochkanekarda,baba vich bach pana wa gal soch kane karda
bachia,bachian
bachium,bachi um
bachiya,bachian
bachy,bachi
bachyia,bachiya
badalda,badal da
badalde,badal de
badaldi,badal di
badbi,baad bhi
badmaas,badmaash
badmash,badmaash
badmasha,badmaash
badmashchor,badmaash chor
badmasi,badmashi
badnam,badnaam
bahadar,bahadur
bahhut,bahaut
bahot,bahaut
bahout,bahaut
bahut,bahaut
baida,bahi da
baii,bhai
baiji,bhai
baikhalistan,bhai khalistan
bajarang,bajrang
bakawas,bakwaas
bakbash,bakwaas
bakhshe,bakshe
bakki,baki
bakwas,bakwaas
bakwass,bakwaas
balatcar,balatkar
baldav,baldev
balley,balle
banaoo,banao
banayo,banao
bandaa,banda
bandaagg,banda agg
bandadekhyo,banda dekhyo
bandarr,bandar
bandasaala,banda saala
bandavdia,banda vadia
bandda,banda
bandde,bande
bandeia,bandea
bandey,bande
